Age,Oil_Quality,Temperature,Load,Humidity,Voltage_Fluctuations,Frequency_Fluctuations,Maintenance_Need
13,86.58294810501638,28.97954258714261,87.09533611592647,71.87015039216496,4.575749759936832,0.1223413728852784,0
16,91.36150070232569,38.232350259477975,73.63793708304769,64.69494822786739,5.352391803775969,0.0627585794516439,0
1,83.86508472486186,38.81690049666841,77.98572857747942,72.50504567535945,8.084474546296242,0.028776856367993396,0
4,70.64391148823957,32.58697949150188,52.30697688899057,48.85636453482749,1.8190626640592074,0.1569366583256776,0
4,71.43301559889001,34.87187749887794,65.51900506017691,74.3373580521903,9.583104141456118,0.09485603286736553,0
8,72.00152733351084,25.922479677593056,94.9092906973842,79.3438213259718,6.432010852639852,0.1865501098557795,0
10,82.92843190820675,30.121079524132544,65.43757256186326,65.4212903816985,2.676000256858352,0.19832432933232358,1
19,88.8776544695818,30.84444673963199,72.67808398790245,62.51037755514766,1.3938694063237311,0.1535465550960664,0
5,70.80683220515199,32.582095231607006,78.48385291460335,58.05453967955873,2.152786905595285,0.01582828318961299,0
7,81.41718983146387,37.729725871649606,88.27315973708173,65.70608114688156,1.9639342819782328,0.15142943525769378,0
13,90.61994264036616,37.14349558673153,62.40658525433613,66.25134017406121,4.6238020706230865,0.14898777837182767,0
2,86.71514619464783,25.146662764470996,53.633893969033494,62.21252913000501,7.227915105764533,0.10001880615954585,1
7,83.64793991169762,27.33056780253239,92.98698277342382,70.48590355365273,3.251642796481528,0.11529067979261076,1
8,84.7202927399955,30.657414694780922,85.70931469293537,54.1664412788421,4.465443654381704,0.15274362311930642,0
15,92.41199998805097,32.68026148794767,88.56905285959192,72.44800733230097,6.077762741175336,0.06205345829283996,1
18,84.3769453111526,34.10483758259786,58.54097466223541,65.41207260936903,8.321167061635013,0.08154943719435864,0
6,80.54548050714861,27.165967287050456,73.6221997777572,53.82350895395433,6.469076865307893,0.19337992526784678,0
14,87.57379276969253,35.44436270109723,72.79789201939754,47.17204385447892,2.6668748091844834,0.01197513649457477,0
9,78.93018560280277,38.361688082524225,75.16864549004534,59.266036215895824,3.1976510068007196,0.11964940426704924,0
10,94.32279358381007,28.35576649622119,95.914640266308,58.162753433231025,4.34268577720081,0.11018051280930141,0
17,91.8075627470674,33.09828251057636,99.58438886278616,51.78495184364806,5.383469823856987,0.19106038520080423,0
6,73.91633728410264,39.84647297612861,51.582288037184505,63.656680945540074,8.957853277158971,0.16570312006887425,0
16,87.10314320763712,34.66193019562881,59.21668164006964,40.215903965312584,3.219982723987394,0.1363586507874088,1
16,70.85176913262453,26.398809907727053,92.02785955655511,53.05681081200239,9.349137466890916,0.09958706181018075,0
1,92.13018185962099,36.6003252641918,54.378588777859065,65.96256971361413,7.96112981249213,0.171014790666172,0
19,91.12133959001268,32.61810499604015,98.77560919147516,41.03491421947537,3.875619928396323,0.05801128266693104,0
4,82.75319999834821,26.680220545816095,85.22061065474784,63.062521641131845,9.701205684998783,0.1504915489382752,0
18,73.19221603851678,32.72729420659857,50.56960282137293,55.05888846737736,4.319070344908246,0.03651773229798687,0
15,85.53682590594832,36.328594638169925,84.90005823785816,70.3094468999825,7.114898612800314,0.1900858328065416,1
8,75.98342510374361,26.75712832224225,65.43099795256427,48.49622828695425,9.42898389694434,0.12832201925479436,0
1,85.77177667670638,30.343839505397685,75.07255871186017,72.86312737939123,8.102920545208276,0.047076509199459535,0
2,87.34364281215352,26.23594520106053,56.985375683600864,48.27258768131999,8.97856097449754,0.1332139543969444,0
10,72.65637274835498,27.272455901980706,80.17560219968614,64.25885835578879,2.455023034474218,0.14093519849754926,0
1,81.92364729255388,25.787457825332098,60.67026618790449,47.92163986220069,6.791689851680156,0.1026976686438177,0
11,84.6398345283794,28.392146541271202,64.14126764037539,61.88762210690568,1.719169352925905,0.07889361294490219,0
4,76.34064269380954,31.813484676019637,84.8028979679219,58.94754932547376,9.819585401521554,0.14498606982388898,0
12,75.02525714664847,36.871314043745116,59.940502714653626,48.956912087874365,7.284508303115518,0.04229844396431185,0
19,85.94639373792191,35.29451361137543,64.43949684278762,63.34625844888436,1.938037747102012,0.07877586115103842,0
3,89.0185891276153,33.813076861586396,54.34428354011355,48.83412229515312,8.136998944555414,0.065108306159854,0
1,78.97776636956593,39.798906476218804,80.0195853506411,60.35415765124655,5.160770798029523,0.036778369282742536,0
1,87.72243893382486,31.95542030212514,61.9946015044815,74.27436179457908,1.7156605990427416,0.13707852199335763,1
5,84.6843827005978,38.72717203880036,94.07744196489533,74.5582748137918,8.239318242865547,0.13658080385779203,0
6,90.23983454639884,30.0496019512193,79.56836608911564,65.89116565836444,1.3172918583915099,0.1792167399718006,0
7,75.10180153825823,31.397218092101546,61.08781203666405,58.612962905185455,8.15797986893363,0.08199842837031407,0
